First Name,Last Name,Age,Rank,Classification,Date of Incident,Date of Death,Cause Of Death,Nature Of Death,Duty,Activity,Emergency,Property Type,
Jeffrey,Chavis,22,Firefighter,Career,"Jun 16, 2001","Jul 12, 2001",Trapped,Burns,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Residential,
Eddie,Mathis,45,Lieutenant,Volunteer,"Jul 16, 2001","Jul 16, 2001",Impact,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
Jeffrey,White,26,Captain,Volunteer,"Jul 17, 2001","Jul 19, 2001",Fall,Trauma,On-Duty,Support,No,Outdoor Property,
Donald,Myrick,49,Firefighter,Volunteer,"Jul 22, 2001","Jul 22, 2001",Impact,Trauma,Response,Personal Vehicle Driver/Passenger,Yes,Residential,
William,Karnes,45,Firefighter,Volunteer,"Jul 23, 2001","Jul 23, 2001",Stress/Overexertion,Heart Attack,On-Duty,Other,No,Outdoor Property,
Kirk,Schafer,36,Firefighter,Career,"Jul 26, 2001","Jul 27, 2001",Impact,Trauma,On-Duty,In-Station Duties,No,Store/Office,
Lazaro,Martinez,70,Firefighter,Volunteer,"Jul 28, 2001","Jul 28, 2001",Stress/Overexertion,Heart Attack,Training,Support,No,N/A,
Ralph,Blackmar,66,Firefighter,Volunteer,"Aug 1, 2001","Aug 1, 2001",Stress/Overexertion,Heart Attack,Response,Vehicle Driver,Yes,Street/Road,
James,Pelton,58,Fire Chief,Career,"Aug 10, 2001","Aug 10, 2001",Impact,Trauma,On-Duty,Personal Vehicle Driver/Passenger,No,Street/Road,
Ronald,Kreamer,34,Firefighter,Volunteer,"Aug 13, 2001","Aug 13, 2001",Stress/Overexertion,Heart Attack,On-Scene Fire,Salvage and Overhaul,Yes,Residential,
Richard ,Shoaf Jr.,43,Firefighter/EMT,Volunteer,"Aug 18, 2001","Aug 18, 2001",Stress/Overexertion,Heart Attack,Response,Vehicle Driver,Yes,Store/Office,
John,Hazlett,52,Firefighter,Volunteer,"Aug 19, 2001","Aug 19, 2001",Impact,Trauma,On-Duty,Vehicle Driver,No,Street/Road,
Lawrence,Groff,55,Airtanker Pilot,Career,"Aug 27, 2001","Aug 27, 2001",Impact,Trauma,On-Scene Fire,Other,Yes,Outdoor Property,
Lars,Stratte,45,Airtanker Pilot,Career,"Aug 27, 2001","Aug 27, 2001",Impact,Trauma,On-Scene Fire,Other,Yes,Outdoor Property,
Michael,Gorumba,27,Firefighter,Career,"Aug 28, 2001","Aug 28, 2001",Stress/Overexertion,Heart Attack,On-Scene Fire,Advance Hose Lines/Fire Attack,Yes,Industrial,
Darryl,Dzugen,36,Captain,Career,"Aug 29, 2001","Aug 29, 2001",Stress/Overexertion,Heart Attack,Response,Fitness Activity,Yes,Outdoor Property,
Richard,Hernandez,37,Pilot (Contract),Career,"Aug 31, 2001","Aug 31, 2001",Vehicle Collision,Trauma,On-Scene Fire,Vehicle Driver,No,Outdoor Property,
Santi,Arovitx,28,Co-Pilot (Contract),Career,"Aug 31, 2001","Aug 31, 2001",Vehicle Collision,Trauma,On-Scene Fire,Vehicle Driver,No,Outdoor Property,
Kip,Krigbaum,45,Crew Chief (Contract),Career,"Aug 31, 2001","Aug 31, 2001",Vehicle Collision,Trauma,On-Scene Fire,Vehicle Passenger,No,Outdoor Property,
David,"Rendek, Jr.",24,Firefighter,Career,"Sep 3, 2001","Sep 3, 2001",Impact,Trauma,On-Scene Fire,Support,Yes,Outdoor Property,
William,Bennett,49,Chief,Volunteer,"Sep 4, 2001","Sep 4, 2001",Impact,Trauma,Response,Vehicle Driver,Yes,Street/Road,
Robert,Augustyn,57,Lieutenant,Career,"Sep 7, 2001","Sep 7, 2001",Impact,Trauma,Response,Other,Yes,Street/Road,
Allan,Marriott,46,Firefighter/Engineer,Volunteer,"Sep 8, 2001","Sep 8, 2001",Stress/Overexertion,Heart Attack,On-Scene Fire,Water Supply,Yes,Outdoor Property,
Peter,Brennan,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Brennan,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Edward,D'Atri,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
James,Corrigan,,Fire Safety Director,Industrial,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Philip,Hayes,,Deputy Fire Safety Director,Industrial,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Agnello,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Brian,Ahearn,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Richard,Allen,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Eric,Allen,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
James,Amato,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Calixto,Anaya Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Angelini Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,"Angelini, Sr.",,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Faustino,Apostol Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
David,Arce,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Louis,Arena,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Carl,Asaro,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gregg,Atlas,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gerald,Atwood,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gerard,Baptiste,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gerard,Barbara,,Assistant Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Matthew,Barnes,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Arthur,Barry,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Steven,Bates,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Carl,Bedigian,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Stephen,Belson,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Bergin,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Paul,Beyer,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Peter,Bielfeld,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Brian,Bilcher,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Carl,Bini,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Christopher,Blackwell,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Bocchino,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Frank,Bonomo,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gary,Box,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Boyle,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kevin,Bracken,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Daniel,Brethel,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Patrick,Brown,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Andrew,Brunn,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Vincent,Brunton,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Ronald,Bucca,,Fire Marshal,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Greg,Buck,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
William,Burke Jr.,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Donald,Burns,,Assistant Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Burnside,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Butler,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Patrick,Byrne,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
George,Cain,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Salvatore,Calabro,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Frank,Callahan,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Cammarata,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Brian,Cannizzaro,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Dennis,Carey,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Carlo,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Carroll,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Peter,Carroll,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Casoria,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Cawley,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Vernon,Cherry,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Nicholas,Chiofalo,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Chipura,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Clarke,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Steven,Coakley,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Tarel,Coleman,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Collins,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Cordice,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Ruben,Correa,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
James,Coyle,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Crawford,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Crisci,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Dennis,Cross,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,"Cullen, III",,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Curatolo,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,D'Auria,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Scott,Davidson,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Edward,Day,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,DeAngelis,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Manuel,Del Valle,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Martin,DeMeo,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
David,DeRubbio,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Andrew,Desperito,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Dennis,Devlin,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gerard,Dewan,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
George,DiPasquale,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kevin,Donnelly,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kevin,Dowdell,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Raymond,Downey,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gerard,Duffy,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Martin,"Egan, Jr.",,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Elferis,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Esposito,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Francis,Esposito,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Evans,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Fanning,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Farino,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Terrence,Farrell,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Farrelly,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
William,Feehan,,First Deputy Commissioner,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Lee,Fehling,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Alan,Feinberg,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Fiore,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Fischer,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Andre,Fletcher,,Fire Marshal,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Florio,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Fodor,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Foley,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
David,Fontana,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Foti,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Andrew,Fredericks,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Peter,Freund,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Gambino Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Peter,Ganci Jr.,,Chief of Department,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Charles,Garbarini,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Gardner,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Matthew,Garvey,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Bruce,Gary,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gary,Geidel,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Edward,Geraghty,,Deputy Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Denis,Germain,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Vincent,Giammona,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
James,Giberson,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Ronnie,Gies,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Paul,Gill,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Ginley,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Jeffrey,Giordano,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Giordano,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Keith,Glascoe,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
James,Gray,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Grzelak,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Jose,Guadalupe,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Geoffrey,Guja,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Gullickson,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
David,Halderman,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Vincent,Halloran,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Hamilton,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Sean,Hanley,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Hannafin,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Dana,Hannon,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Daniel,Harlin,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
